ServiceStationID,ServiceStationName,Address,Suburb,Postcode,Longitude,Latitude
1095,7-Eleven Bligh Park,"735 George Street, Bligh Park NSW 2756",Bligh Park,2756.0,150.7864011,-33.6369405
1096,7-Eleven Green Valley,"187 Wilson Road, Green Valley NSW 2168",Green Valley,2168.0,150.865559,-33.9078145
1098,7-Eleven Newport,"307-311 Barrenjoey Rd, NEWPORT NSW 2106",NEWPORT,2106.0,151.31825134959138,-33.65640435
1100,7-Eleven Arndell Park,"180 Reservoir Road, Arndell Park NSW 2148",Arndell Park,2148.0,150.8970422,-33.797268
1101,7-Eleven Bexley,"474 Forest Road, Bexley NSW 2207",Bexley,2207.0,151.1254222,-33.9514138
1104,7-Eleven North Ryde,"400 Lane Cove Road, North Ryde NSW 2113",North Ryde,2113.0,151.1183451,-33.7945838
1107,7-Eleven Ryde,"326-328 Blaxland Road, Ryde NSW 2112",Ryde,2112.0,151.1035655,-33.8043502
1108,7-Eleven Penshurst,"612 Forest Road, Penshurst NSW 2222",Penshurst,2222.0,151.07934845347083,-33.9615362
1109,Riverview Service Centre,"595 Ocean Dr, NORTH HAVEN NSW 2443",NORTH HAVEN,2443.0,152.8212751,-31.6351451
1111,Coles Express North Ryde,"275 Lane Cove Rd, North Ryde NSW 2113",North Ryde,2113.0,151.1183451,-33.7945838
1112,Coles Express North Ryde,"96 Wicks Road, North Ryde NSW 2113",North Ryde,2113.0,151.126744,-33.794118
1113,BP Warners Bay,"9 KING ST, WARNERS BAY NSW 2282",WARNERS BAY,2282.0,151.6466269,-32.9752059
1116,Coles Express West Ryde,"1032-1036 Victoria Rd, West Ryde NSW 2114",West Ryde,2114.0,151.0850535,-33.807391
1118,BP Mona Vale,"1721 Pittwater Road, Mona Vale NSW 2103",Mona Vale,2103.0,151.30248584280787,-33.680463950000004
1119,Metro Petroleum Morisset,"57 Dora St, MORISSET NSW 2264",MORISSET,2264.0,151.4785537,-33.1128509
1120,Caltex Woolworths Newport,"348 Barrenjoey Road, Newport NSW 2106",Newport,2106.0,151.3175022,-33.6579188
1121,Caltex Woolworths West Ryde,"924 Victoria Rd, WEST RYDE NSW 2114",WEST RYDE,2114.0,151.09342205990524,-33.81080065
1122,Caltex Woolworths Peakhurst,"742 Forest Road, Peakhurst NSW 2210",Peakhurst,2210.0,151.0712024,-33.9597612
1123,Powerfuel,"60 Hill Road, LURNEA NSW 2170",LURNEA,2170.0,150.8987312,-33.9264511
1125,Speedway West Ryde,"899 Victoria Road, West Ryde NSW 2114",West Ryde,2114.0,151.09421378641125,-33.8105922
